task,alpha,r,A,loss,bloch_mse,mse_x,mse_y,mse_z,latent_norm,eta
36,0.20331327027416146,0.5077307142274171,0.008472079411149025,0.13828106224536896,0.01895402930676937,0.002765845973044634,0.0027681768406182528,0.051328063011169434,,"[-0.11254989 -0.23389427]"
37,0.6241144063085704,0.46450358402049363,0.06912854313850403,0.020603518933057785,0.0015520546585321426,0.0005076112574897707,0.0004931919975206256,0.0036553607787936926,,"[-0.0971897  -0.21732129]"
38,0.6627622080115676,0.13702232586704519,0.008095056749880314,0.20072634518146515,0.020594540983438492,0.0011174444807693362,0.0011345773236826062,0.05953159183263779,,"[-0.11199821 -0.23212878]"
39,0.4150794371265636,0.15793452976256486,0.00419292226433754,0.200639545917511,0.045926354825496674,0.0013136481866240501,0.0013041908387094736,0.13516122102737427,,"[-0.13467112 -0.24489376]"
40,0.7178620555253561,0.41164906341377894,0.07467114925384521,0.07330847531557083,0.007623901590704918,0.0008979376871138811,0.0009062437457032502,0.021067524328827858,,"[-0.0971481  -0.22288539]"
41,0.39853881491158955,0.13177917514301182,0.0027111764065921307,0.22427122294902802,0.043761033564805984,0.003189521376043558,0.00323486072011292,0.12485869973897934,,"[-0.11047842 -0.23100433]"
42,0.3865893930293973,0.2625916610133735,0.009640567004680634,0.10864248126745224,0.02437862753868103,0.0013384122867137194,0.0013237947132438421,0.07047367095947266,,"[-0.10655662 -0.23244075]"
43,0.6377637070028386,0.4187787356776066,0.060689300298690796,0.026645498350262642,0.0006328081362880766,0.00032919476507231593,0.0003356832603458315,0.0012335461797192693,,"[-0.09283369 -0.21097702]"
44,0.7323276455457961,0.3361074625809747,0.05443577468395233,0.08906690776348114,0.002308832947164774,0.0003277344803791493,0.00032567756716161966,0.006273087114095688,,"[-0.09195065 -0.22435391]"
45,0.27175654756298107,0.4566223936114975,0.01274167187511921,0.09396563470363617,0.019172297790646553,0.0014316856395453215,0.0014224968617781997,0.054662708193063736,,"[-0.11657341 -0.23419212]"
46,0.6564710291701386,0.38063859878474815,0.05453742295503616,0.04085129126906395,0.0012627855176106095,0.00025028391974046826,0.0002492915082257241,0.003288781037554145,,"[-0.09615005 -0.22141959]"
47,0.6625803079727366,0.34689779818219535,0.047155361622571945,0.051255401223897934,0.0007188455201685429,0.00012532234541140497,0.00012865979806520045,0.0019025543006137013,,"[-0.09950781 -0.22296666]"
48,0.5136396976291965,0.31377050917927485,0.023646142333745956,0.036435339599847794,0.003720734966918826,0.0003675941552501172,0.0003737453371286392,0.010420865379273891,,"[-0.1104632  -0.22639169]"
49,0.2152514760464571,0.15394571349665223,0.0010726426262408495,0.2513895034790039,0.022508352994918823,0.00386791885830462,0.0036945114843547344,0.05996263027191162,,"[-0.12170069 -0.23957221]"
50,0.21885751141204057,0.41820520563189023,0.007130212616175413,0.14897753298282623,0.030845461413264275,0.0022850579116493464,0.0023379065096378326,0.08791341632604599,,"[-0.11560895 -0.23465328]"
51,0.38861358864579604,0.35428534558235136,0.01684185303747654,0.04909781739115715,0.010708602145314217,0.001237601856701076,0.0012389353942126036,0.029649270698428154,,"[-0.11147642 -0.2275999 ]"
52,0.7445398843556559,0.22464611457443748,0.02663126401603222,0.14749397337436676,0.0013658370589837432,6.562588532688096e-05,7.675080996705219e-05,0.003955134190618992,,"[-0.10538107 -0.22425519]"
53,0.44622975382137786,0.4777755692715243,0.03700592741370201,0.005759174469858408,0.0012771983165293932,6.164724618429318e-05,5.957898611086421e-05,0.0037103681825101376,,"[-0.10239221 -0.21475536]"
54,0.3372788992949735,0.1384899549143965,0.0021407417953014374,0.2724887430667877,0.06609031558036804,0.001977482344955206,0.0018944055773317814,0.19439907371997833,,"[-0.13085744 -0.24330974]"
55,0.3738508717482608,0.18061064362700222,0.004415123723447323,0.20346137881278992,0.04977799206972122,0.0020073321647942066,0.002003371948376298,0.1453232616186142,,"[-0.1262297  -0.23136203]"
56,0.757818591405544,0.5040601897822085,0.11635129898786545,0.10279392451047897,0.014034586027264595,0.002346395282074809,0.002517035463824868,0.037240322679281235,,"[-0.09267215 -0.21912098]"
57,0.5800422539062542,0.5357302950938588,0.07502927631139755,0.018013715744018555,0.0035359312314540148,0.0004675857489928603,0.00047496604383923113,0.009665241464972496,,"[-0.09588114 -0.22064817]"
58,0.6822032461394687,0.19328502944301792,0.016760805621743202,0.1435529738664627,0.006451850291341543,0.00019914351287297904,0.00019833813712466508,0.018958069384098053,,"[-0.10575306 -0.22783627]"
59,0.7355353990939868,0.3696711209578254,0.06504423171281815,0.08445624262094498,0.0034603492822498083,0.0005792196607217193,0.0005853482289239764,0.009216479025781155,,"[-0.09804845 -0.2165225 ]"
60,0.6844640930984376,0.5480456499617467,0.1082114428281784,0.061714284121990204,0.009176148101687431,0.0014889779267832637,0.0015367112355306745,0.02450275421142578,,"[-0.0934867  -0.21580651]"
61,0.39080208498311836,0.15502596226383838,0.003584334859624505,0.21369753777980804,0.04716657102108002,0.0013781063025817275,0.0013673861976712942,0.1387542188167572,,"[-0.11810644 -0.23049201]"
62,0.33676109752516503,0.3135538943131282,0.010151749476790428,0.10020395368337631,0.02388196997344494,0.002079830039292574,0.0020072513725608587,0.06755882501602173,,"[-0.12002678 -0.23815347]"
63,0.690808859553496,0.5303652916281717,0.10476577281951904,0.060576796531677246,0.008328396826982498,0.001419350621290505,0.0012862692819908261,0.022279569879174232,,"[-0.09349804 -0.22348537]"
64,0.20417127831871443,0.35537365128878284,0.004674222320318222,0.2201823592185974,0.0599149651825428,0.0017189133213832974,0.0017279040766879916,0.17629806697368622,,"[-0.12226533 -0.23802634]"
65,0.45044660188926744,0.21105390523536513,0.008652602322399616,0.10813901573419571,0.015316951088607311,0.0014889391604810953,0.0015574799617752433,0.042904432862997055,,"[-0.12548026 -0.23811191]"
66,0.2719192204002097,0.26880758570181396,0.0049826884642243385,0.2090645581483841,0.0598481260240078,0.002154999878257513,0.002014635596424341,0.17537473142147064,,"[-0.13268527 -0.24012466]"
67,0.7657458223475115,0.2616014660103776,0.03755791112780571,0.1381060630083084,0.0005514096119441092,0.00016142643289640546,0.00016641592083033174,0.0013263864675536752,,"[-0.10071186 -0.22393692]"
68,0.5112743730460196,0.4515094794475889,0.044265519827604294,0.0005987433833070099,1.0274788110109512e-05,1.2205248367536115e-06,1.210464915857301e-06,2.8393375032464974e-05,,"[-0.0979201  -0.22683251]"
69,0.41817776142757646,0.5858910413604803,0.04468819499015808,0.024057043716311455,0.00019723574223462492,4.881825589109212e-05,4.9751371989259496e-05,0.0004931375151500106,,"[-0.10442827 -0.22538395]"
70,0.7774683769652668,0.22589114791268208,0.029346080496907234,0.1659972071647644,0.0007620002143085003,0.00011541565618244931,0.0001362860348308459,0.0020342988427728415,,"[-0.10394792 -0.22509904]"
71,0.4983491035354313,0.25043915490838486,0.014657270163297653,0.07488729059696198,0.009962794370949268,0.000867689261212945,0.0008506930898874998,0.02817000262439251,,"[-0.11201037 -0.23208492]"
72,0.3709042966264806,0.1184434736772664,0.0019032491836696863,0.27938762307167053,0.06744316220283508,0.0030033637303858995,0.0029321322217583656,0.19639399647712708,,"[-0.13182737 -0.24448171]"
73,0.5657386003879381,0.3513395116144308,0.03516705706715584,0.022936351597309113,0.00030194848659448326,1.9611501556937583e-05,2.052254421869293e-05,0.0008657114231027663,,"[-0.10227813 -0.22587547]"
74,0.23088725074999364,0.23932323211830572,0.0028878948651254177,0.1805284172296524,0.019676052033901215,0.003378969384357333,0.0033269699197262526,0.05232221633195877,,"[-0.12537877 -0.23632976]"
75,0.7449595315799924,0.21978094533348622,0.02557162567973137,0.15084385871887207,0.0012868072371929884,9.917501301970333e-05,0.00010232738713966683,0.0036589193623512983,,"[-0.10419264 -0.2207921 ]"
76,0.28693692325473386,0.34472638013878154,0.008744909428060055,0.12137298285961151,0.029411783441901207,0.0024835506919771433,0.002489445498213172,0.0832623541355133,,"[-0.12022287 -0.23636611]"
